Copyright (C) James G. MacKinnon, 1995
conc      3  4  3   20
 -.54580088e+01 -.32103735e+02 -.16441921e+03 -.17069815e+03  .50497378e-02
 -.53022567e+01 -.29776828e+02 -.10167860e+03 -.69397283e+03  .36013713e-02
 -.50872065e+01 -.25668280e+02 -.97898205e+02 -.11738090e+03  .24600651e-02
 -.49141598e+01 -.23219577e+02 -.62553182e+02 -.27431152e+03  .18317209e-02
 -.47349746e+01 -.20370384e+02 -.45443105e+02 -.25427387e+03  .14099363e-02
 -.46268946e+01 -.18408982e+02 -.52502899e+02 -.48374554e+02  .11650449e-02
 -.45473994e+01 -.17104335e+02 -.56823269e+02  .10605503e+03  .10269516e-02
 -.44829692e+01 -.16532630e+02 -.37583647e+02 -.89741681e+02  .92288046e-03
 -.44306628e+01 -.15739881e+02 -.37089206e+02 -.55841182e+02  .88105185e-03
 -.43846312e+01 -.15296505e+02 -.27113514e+02 -.13750084e+03  .78716786e-03
 -.43447562e+01 -.14760005e+02 -.25023053e+02 -.14380575e+03  .72423841e-03
 -.43091854e+01 -.14225082e+02 -.26678867e+02 -.10307478e+03  .68921900e-03
 -.42767684e+01 -.13771329e+02 -.30172355e+02 -.11794035e+02  .66409358e-03
 -.41479533e+01 -.12304040e+02 -.23649053e+02  .29213905e+01  .57092385e-03
 -.40527055e+01 -.11273913e+02 -.18733414e+02 -.10763345e+02  .48900744e-03
 -.39760499e+01 -.10546880e+02 -.12391850e+02 -.61740670e+02  .46289460e-03
 -.39119310e+01 -.98178689e+01 -.13830434e+02 -.26777082e+02  .43542692e-03
 -.38559671e+01 -.93374415e+01 -.98087208e+01 -.48593874e+02  .40027254e-03
 -.38066560e+01 -.88553117e+01 -.97155504e+01 -.22415977e+02  .37129470e-03
 -.37623294e+01 -.84111099e+01 -.10219720e+02 -.20800031e+01  .35761177e-03
 -.37218002e+01 -.80475066e+01 -.89768044e+01 -.80201953e+01  .35497687e-03
 -.36844235e+01 -.77283403e+01 -.79356371e+01 -.84013162e+01  .34735784e-03
 -.36498199e+01 -.74229117e+01 -.75975526e+01 -.65531070e+01  .33659349e-03
 -.36171044e+01 -.71982257e+01 -.49709159e+01 -.29914436e+02  .33519853e-03
